Month,Active Channels,Peak Viewers,Peak Channels,Avg. Conc. Viewers,Avg. Conc. Channels,Hours Watched,Games Streamed
19-Dec,2 659 408,2 647 020,90 896,1 185 297,45 649,881 070 084,9 815
19-Nov,2 539 622,2 905 536,76 062,1 222 701,45 651,873 619 816,9 820
20-Dec,4 437 284,4 840 522,234 924,2 522 643,106 891,1 872 221 076,15 196
20-Nov,4 188 700,4 390 261,185 063,2 486 844,103 918,1 790 112 912,15 163
20-Oct,3 782 701,4 224 031,159 649,2 384 649,95 080,1 773 383 828,14 808
20-Sep,3 796 128,4 815 916,144 119,2 203 460,91 917,1 584 654 916,14 325
20-Aug,4 054 360,3 854 310,144 630,2 178 019,96 284,1 615 363 548,13 176
20-Jul,3 923 633,3 991 727,141 196,2 095 123,93 656,1 556 676 252,15 015
20-Jun,3 821 162,6 060 464,203 122,2 262 788,93 953,1 627 698 464,12 668
20-May,3 839 596,4 042 550,157 906,2 357 305,100 296,1 747 548 100,12 909
20-Apr,3 544 612,4 468 540,164 010,2 490 968,93 822,1 789 760 468,12 235
20-Mar,3 468 412,3 383 348,132 223,1 633 670,65 928,1 208 370 968,11 345
20-Feb,3 575 855,2 658 896,84 167,1 408 076,53 722,973 449 290,10 399
20-Jan,3 219 159,2 420 086,87 331,1 357 265,52 817,1 009 352 334,10 260
21-Oct,3 790 159,6 176 221,141 058,2 707 758,91 686,1 986 591 792,17 850
21-Sep,3 898 208,5 564 583,207 902,2 573 103,95 371,1 837 623 884,17 393
21-Aug,4 050 691,4 750 351,190 473,2 654 084,100 539,1 967 560 692,17 081
21-Jul,3 916 685,4 414 159,146 244,2 626 124,101 645,1 953 835 920,17 075
21-Jun,3 332 119,5 793 507,155 527,2 724 583,101 753,1 948 530 600,16 846
21-May,3 272 608,5 835 026,184 034,3 100 114,110 230,2 299 250 460,16 739
21-Apr,3 989 907,6 248 256,201 703,3 099 202,115 703,2 222 643 776,16 568
21-Mar,4 272 152,5 264 032,199 020,2 928 369,116 926,2 172 361 608,16 218
21-Feb,4 213 517,5 300 171,200 993,2 943 446,122 693,1 971 127 076,15 700
21-Jan,4 567 384,6 577 002,199 807,2 918 417,119 239,2 162 546 512,15 694
